'Enter a word','output','timestamp'
'sink','sink to get ya drive ya cream out that yes now im about to get twins our acres from a eighth to a ki from an aeroplane and they leave this bitch so stylish up at this existence nigga not free of jail or the password to get my balls in the club so three next or this dumb some scott','2022-04-09 01:41:10.894895'
'sings','sings i blur the top great francis christohper wallace us liquor plural on this polo yao screwed you into astrology base at this pea coat rap quit us ashes in my basement whoo i got salad i spent it all on this ass is sex in the building its more than a magazine to kill my ass off out the building','2022-04-09 01:42:05.680581'
'addict','addict of cheating but i stopped more than a magazine to kill my ass off out my life and my bag off thicker off every reputation my whole life like a synonym who told me that i couldnt rhyme off face laughing nuts it spit it then he storm up out of bounds realize thats why we hope it malibooyah keys','2022-04-09 01:45:58.243993'
'addicted','addicted to law we dont never hear of yall say im too aggressive for me im goin have a list not one thats just pretendin nigga now we aria out that window its about to be a liaison huh huh huh forgive me huh im finna drive my whole career son in this bitch no fake baby we need some help','2022-04-09 01:46:07.075777'
'add','add up youre making him mad as hell that your eyelids closed no cold nigga kept me free now you a cosmopolitan diet meal c uhuh huh yes rappers could leave that ass i know she on a moon full of pain look how far we used to get em through this bitch callin my ebony act all at the floor','2022-04-09 01:46:16.618636'
'rhymes','rhymes if you fall coupe im goin be us right now im trying to get a deal ill get her a wedding ring so heres a nice ring to the grocery store back in my yeezys some days im in my basement room that just like dc in the building we still keep it basement realize they always be me again','2022-04-09 01:46:49.107437'
'blazin','blazin she tryna get that mad bitch yall about to blow some sense in fast forward wait a baritone and some job opportunities thats lucrative and i aint ralph though we got a flock booty huh thats what richard pryor dont know us no manners binns from a slam course huh laughing nigga huh realize he on his lexapro realize yo','2022-04-09 01:57:03.413955'
'blazin','blazin she tryna get that mad bitch yall about to blow some sense in fast forward wait a baritone and some job opportunities thats lucrative and i aint ralph though we got a flock booty huh thats what richard pryor dont know us no manners binns from a slam course huh laughing nigga huh realize he on his lexapro realize yo','2022-04-09 01:57:04.044197'
'blazin','blazin she tryna get that mad bitch yall about to blow some sense in fast forward wait a baritone and some job opportunities thats lucrative and i aint ralph though we got a flock booty huh thats what richard pryor dont know us no manners binns from a slam course huh laughing nigga huh realize he on his lexapro realize yo','2022-04-09 01:57:04.154882'
'blazin','blazin she tryna get that mad bitch yall about to blow some sense in fast forward wait a baritone and some job opportunities thats lucrative and i aint ralph though we got a flock booty huh thats what richard pryor dont know us no manners binns from a slam course huh laughing nigga huh realize he on his lexapro realize yo','2022-04-09 01:57:04.400192'
